Source,RA_ICRS,DE_ICRS,pmRA,pmDE,Gmag,BPmRP,RUWE,epsi,sepsi,uvista_matchdistarcsec,uvista_Ymag,uvista_Jmag,uvista_Hmag,uvista_Ksmag,ukidss_matchdistarcsec,ukidss_Ymag,ukidss_Jmag,ukidss_Hmag,ukidss_Ksmag,FromPS1_Hmag,MUSEIOT_Jmag
3836225378169324544,149.93514817873,1.94489170236,-3.572,-1.322,17.9657,0.8587,1.027,0.0,0.0,0.16617646310217085,17.169,17.007,16.692,16.595,0.11498455526614423,17.231000900268555,17.256000518798828,16.55699920654297,16.576000213623047,16.657108,16.813492
3836225382462537216,149.93371596978,1.94628273067,,,20.8269,1.90835,,2.682,0.74844486,0.12339382598148536,18.489,18.038,17.532,17.241,0.16868243843185068,18.427000045776367,18.04400062561035,17.54400062561035,17.19300079345703,17.367037,18.5535
3836225416822277760,149.90888947894,1.94117851972,,,21.049,0.116266,,0.0,0.0,0.13068944481748324,20.447,20.227,19.832,19.725,,,,,,,20.833523
3836225451182211456,149.9188402375,1.94403334467,-2.142,-0.38,19.7109,1.12864,0.997,0.0,0.0,0.1478750267923291,18.927,18.703,18.344,18.219,0.07578988138126237,18.819000244140625,18.67300033569336,18.35099983215332,18.238000869750977,18.167406,18.247622
3836225446887180800,149.92613989672,1.95251154528,-0.831,-3.502,19.0533,0.68306,0.986,0.0,0.0,0.27812092615090356,18.35,18.162,17.826,17.63,0.14852656304830453,18.31100082397461,18.108999252319336,17.98200035095215,17.736000061035156,17.852127,18.111948
3836225451182211200,149.91658567109,1.95349071452,-5.096,-1.151,14.7528,0.778376,0.985,0.0,0.0,0.16532032466937463,13.917,13.782,13.472,13.391,0.11303279985686174,13.991000175476074,13.734000205993652,13.465999603271484,13.388999938964844,13.469876,13.696194
3836225618685871872,149.90418561622,1.94851590623,4.371,-10.219,19.4526,1.55338,1.005,0.455,0.29371327,0.1518421168190098,17.934,17.564,16.948,16.728,0.21752636613595025,17.937999725341797,17.535999298095703,16.825000762939453,16.76799964904785,16.84585,17.531733
3836231253684598656,149.94163497011,1.94863095605,,,21.1308,1.53072,,4.243,0.9613043,0.15043566224469795,19.029,18.571,18.022,17.725,0.11310982966077157,19.235000610351562,18.527000427246094,17.961999893188477,17.716999053955078,17.913416,19.23336
3836225378167702144,149.93567650802,1.94518366441,-3.271,-1.429,18.0224,0.757374,0.994,0.0,0.0,0.15117122724577153,17.19,17.019,16.726,16.636,0.11895666100582096,17.246000289916992,17.049999237060547,16.66200065612793,16.584999084472656,16.718481,16.99102
3836231391121922048,149.96790375353,1.97205519123,-2.107,-45.543,18.8047,1.92144,0.944,0.0,0.0,0.32822659099268126,17.071,16.69,16.171,15.923,0.47470370654096994,17.097999572753906,16.843000411987305,16.089000701904297,15.871999740600586,15.973846,16.518822
3836231429776684800,149.97236835498,1.98419654729,-14.27,-2.847,19.6231,2.51526,1.004,0.715,0.5901187,0.20685241281009326,17.467,17.028,16.507,16.228,0.12503236748208033,17.44700050354004,17.0939998626709,16.40399932861328,16.111000061035156,16.35471,16.810005
3836231494202805632,149.96513233172,1.99244205434,,,20.8191,2.34335,,1.129,0.14601015,0.1486211306683372,18.889,18.452,17.921,17.651,0.14540544172541292,18.906999588012695,18.423999786376953,17.812999725341797,17.621000289916992,17.609978,18.150799
